# Image with: 7.1e21 meters, image height: 7.2e20 meters.
4207
2.0000e41  -2.8404e21  0.0000e0  0.0000e0  0.0000e0  # galaxy 1, massive object in center
1.0000e31  -2.8395e21  0.0000e0  0.0000e0  3.7547e6  # galaxy 1, star 1
1.0000e31  -2.8394e21  -6.3796e16  2.3104e5  3.6355e6  # galaxy 1, star 2
1.0000e31  -2.8393e21  -1.3528e17  4.4741e5  3.5058e6  # galaxy 1, star 3
1.0000e31  -2.8393e21  -2.1486e17  6.4892e5  3.3669e6  # galaxy 1, star 4
1.0000e31  -2.8392e21  -3.0292e17  8.3549e5  3.2201e6  # galaxy 1, star 5
1.0000e31  -2.8392e21  -3.9983e17  1.0071e6  3.0664e6  # galaxy 1, star 6
1.0000e31  -2.8391e21  -5.0595e17  1.1638e6  2.9070e6  # galaxy 1, star 7
1.0000e31  -2.8391e21  -6.2159e17  1.3057e6  2.7431e6  # galaxy 1, star 8
1.0000e31  -2.8391e21  -7.4703e17  1.4330e6  2.5756e6  # galaxy 1, star 9
1.0000e31  -2.8390e21  -8.8251e17  1.5460e6  2.4056e6  # galaxy 1, star 10
1.0000e31  -2.8390e21  -1.0282e18  1.6449e6  2.2341e6  # galaxy 1, star 11
1.0000e31  -2.8390e21  -1.1843e18  1.7302e6  2.0619e6  # galaxy 1, star 12
1.0000e31  -2.8390e21  -1.3507e18  1.8021e6  1.8900e6  # galaxy 1, star 13
1.0000e31  -2.8390e21  -1.5275e18  1.8612e6  1.7191e6  # galaxy 1, star 14
1.0000e31  -2.8390e21  -1.7146e18  1.9078e6  1.5499e6  # galaxy 1, star 15
1.0000e31  -2.8390e21  -1.9118e18  1.9426e6  1.3833e6  # galaxy 1, star 16
1.0000e31  -2.8391e21  -2.1187e18  1.9660e6  1.2199e6  # galaxy 1, star 17
1.0000e31  -2.8391e21  -2.3349e18  1.9787e6  1.0601e6  # galaxy 1, star 18
1.0000e31  -2.8392e21  -2.5599e18  1.9810e6  9.0471e5  # galaxy 1, star 19
1.0000e31  -2.8393e21  -2.7929e18  1.9738e6  7.5408e5  # galaxy 1, star 20
1.0000e31  -2.8395e21  -3.0331e18  1.9575e6  6.0867e5  # galaxy 1, star 21
1.0000e31  -2.8396e21  -3.2794e18  1.9328e6  4.6889e5  # galaxy 1, star 22
1.0000e31  -2.8398e21  -3.5306e18  1.9003e6  3.3507e5  # galaxy 1, star 23
1.0000e31  -2.8400e21  -3.7852e18  1.8605e6  2.0750e5  # galaxy 1, star 24
1.0000e31  -2.8402e21  -4.0417e18  1.8142e6  8.6421e4  # galaxy 1, star 25
1.0000e31  -2.8405e21  -4.2982e18  1.7619e6  -2.7958e4  # galaxy 1, star 26
1.0000e31  -2.8408e21  -4.5526e18  1.7042e6  -1.3549e5  # galaxy 1, star 27
1.0000e31  -2.8411e21  -4.8025e18  1.6418e6  -2.3605e5  # galaxy 1, star 28
1.0000e31  -2.8415e21  -5.0453e18  1.5751e6  -3.2958e5  # galaxy 1, star 29
1.0000e31  -2.8419e21  -5.2782e18  1.5048e6  -4.1603e5  # galaxy 1, star 30
1.0000e31  -2.8423e21  -5.4979e18  1.4314e6  -4.9541e5  # galaxy 1, star 31
1.0000e31  -2.8428e21  -5.7009e18  1.3555e6  -5.6776e5  # galaxy 1, star 32
1.0000e31  -2.8433e21  -5.8835e18  1.2775e6  -6.3313e5  # galaxy 1, star 33
1.0000e31  -2.8439e21  -6.0415e18  1.1979e6  -6.9163e5  # galaxy 1, star 34
1.0000e31  -2.8445e21  -6.1704e18  1.1173e6  -7.4337e5  # galaxy 1, star 35
1.0000e31  -2.8452e21  -6.2656e18  1.0361e6  -7.8852e5  # galaxy 1, star 36
